epoch,train_acc,train_loss,val_acc,val_loss
1,0.653214928057554,1.0614608470484508,0.78125,0.8611969947814941
2,0.6655800359712231,0.943162889360524,0.71875,0.7022032737731934
3,0.6669289568345325,0.9059407742117807,0.78125,0.746004045009613
4,0.6715377697841727,0.8809134344831645,0.75,0.8123255372047424
5,0.6851393884892086,0.8498395046741842,0.75,0.7298713326454163
6,0.6901978417266187,0.8297805537422784,0.78125,0.601095974445343
7,0.7004271582733813,0.8155900809190256,0.8125,0.658604085445404
8,0.6961555755395684,0.8058379458652126,0.75,0.7124249339103699
9,0.7049235611510791,0.7950537800788879,0.8125,0.6058435440063477
10,0.7139163669064749,0.7721972421562071,0.71875,0.7323331832885742
11,0.7127922661870504,0.7695101662505445,0.78125,0.6000422239303589
12,0.7183003597122303,0.7555599050770561,0.78125,0.7033246755599976
13,0.7258318345323741,0.7430532964871084,0.8125,0.6532115936279297
14,0.7257194244604317,0.7421989494519268,0.84375,0.5596584677696228
15,0.725044964028777,0.737670409272043,0.75,0.659187912940979
16,0.7319019784172662,0.7289406930585559,0.8125,0.6391882300376892
17,0.7304406474820144,0.7174160656311529,0.71875,0.7026164531707764
18,0.739658273381295,0.7093921368070644,0.78125,0.5994065403938293
19,0.7431429856115108,0.6973901683692452,0.84375,0.5438779592514038
20,0.7407823741007195,0.6978815516336359,0.75,0.5951459407806396
21,0.74494154676259,0.6957500149770607,0.75,0.6201567649841309
22,0.7486510791366907,0.6826764333376781,0.75,0.7123640179634094
23,0.7493255395683454,0.6768613976540325,0.75,0.6160500645637512
24,0.7570818345323741,0.6680104581893777,0.78125,0.5556023120880127
25,0.7508992805755396,0.661507221113006,0.875,0.4638115167617798
26,0.752023381294964,0.6596845025531679,0.8125,0.5672072768211365
27,0.7549460431654677,0.6525146290123891,0.8125,0.6443389654159546
28,0.7525854316546763,0.6488736332963696,0.875,0.46580401062965393
29,0.7571942446043166,0.6482706595239022,0.84375,0.5583401918411255
30,0.7637140287769785,0.6341576213352114,0.78125,0.528969943523407
31,0.7642760791366907,0.6321784894672229,0.84375,0.44276243448257446
32,0.7638264388489209,0.6282949045622092,0.84375,0.539350152015686
33,0.7651753597122303,0.6299663605771476,0.84375,0.5284349918365479
34,0.7659622302158274,0.6231045091538121,0.84375,0.4696754217147827
35,0.7714703237410072,0.6113289151903537,0.8125,0.44916388392448425
36,0.7737185251798562,0.6078966006958227,0.84375,0.44008868932724
37,0.7727068345323741,0.5982876822030802,0.8125,0.49435335397720337
38,0.7728192446043166,0.610339549162405,0.78125,0.483354389667511
39,0.7727068345323741,0.5957770022235328,0.8125,0.5809593200683594
40,0.7786645683453238,0.5865560119315018,0.875,0.34887009859085083
41,0.7809127697841727,0.5814870684910164,0.8125,0.4290163218975067
42,0.7839478417266188,0.5734323906919939,0.78125,0.5604963898658752
43,0.7836106115107914,0.57157441057104,0.84375,0.34961408376693726
44,0.7840602517985612,0.5798075857351153,0.8125,0.7054964303970337
45,0.790804856115108,0.5624103493077292,0.84375,0.4328439235687256
46,0.7870953237410072,0.5557677251615113,0.75,0.547149121761322
47,0.7982239208633094,0.5416488135032517,0.8125,0.518638014793396
48,0.7946267985611511,0.5396811300151639,0.8125,0.5086196660995483
49,0.7956384892086331,0.5417427699342906,0.84375,0.4149823784828186
50,0.7951888489208634,0.5417209934952448,0.875,0.48826926946640015
51,0.7927158273381295,0.5382103262294968,0.78125,0.5707042813301086
52,0.8018210431654677,0.5275853157257863,0.84375,0.6198273301124573
53,0.8008093525179857,0.52696357785369,0.875,0.6392841935157776
54,0.8038444244604317,0.5202947483538723,0.875,0.4815693199634552
55,0.807216726618705,0.5085297281579148,0.84375,0.7336949110031128
56,0.8053057553956835,0.5208362753657129,0.8125,0.3965097963809967
57,0.8112634892086331,0.5028210130634068,0.90625,0.23874999582767487
58,0.8101393884892086,0.506798587096252,0.875,0.44604814052581787
59,0.8138489208633094,0.4979652557656062,0.875,0.2541392743587494
60,0.8183453237410072,0.4856074360205973,0.84375,0.3471313714981079
61,0.8193570143884893,0.483239646009404,0.84375,0.4408959150314331
62,0.8154226618705036,0.4974637611521234,0.8125,0.44567394256591797
63,0.8180080935251799,0.4792274748571485,0.875,0.33592188358306885
64,0.8155350719424461,0.4803884326339626,0.84375,0.4355632960796356
65,0.8205935251798562,0.476769501035162,0.875,0.38033410906791687
66,0.827338129496403,0.45517118650374655,0.875,0.4812881648540497
67,0.827338129496403,0.46573598924086246,0.84375,0.3905034065246582
68,0.8314973021582734,0.463459429873837,0.875,0.5714389681816101
69,0.8320593525179857,0.46133619375366103,0.90625,0.25276803970336914
70,0.8330710431654677,0.45862602662268304,0.875,0.5570477247238159
71,0.8299235611510791,0.4564861576441381,0.78125,0.504009485244751
72,0.8310476618705036,0.45633124983567985,0.875,0.3633379340171814
73,0.8348696043165468,0.44483361248489767,0.8125,0.59388667345047
74,0.8348696043165468,0.4359224686841313,0.875,0.3868541717529297
75,0.8410521582733813,0.42431439081434724,0.875,0.3765997290611267
76,0.8455485611510791,0.41636583694129536,0.84375,0.3790035843849182
77,0.8372302158273381,0.42972022745249083,0.8125,0.5274754166603088
78,0.8418390287769785,0.41897001069226714,0.8125,0.48184412717819214
79,0.8467850719424461,0.41645732144121644,0.875,0.5429732799530029
80,0.8485836330935252,0.40581524023692384,0.84375,0.45975422859191895
81,0.8549910071942447,0.3927089618317944,0.875,0.3671690821647644
82,0.8482464028776979,0.4114123223175248,0.8125,0.36000731587409973
83,0.8477967625899281,0.4035565300489501,0.875,0.3621693551540375
84,0.8517311151079137,0.39247181215625015,0.78125,0.4151430130004883
85,0.8458857913669066,0.4128666889431665,0.78125,0.6097695827484131
86,0.8558902877697843,0.3881334661901426,0.875,0.5583004355430603
87,0.8524055755395684,0.39778917381982154,0.8125,0.5613808035850525
88,0.8545413669064749,0.3924412296669518,0.8125,0.5476589798927307
89,0.8551034172661871,0.39252174342814966,0.875,0.33791372179985046
90,0.8634217625899281,0.37653110079842506,0.8125,0.5463283658027649
91,0.8611735611510792,0.3767403896978433,0.84375,0.4029354453086853
92,0.8611735611510792,0.380150349046901,0.8125,0.5450557470321655
93,0.860611510791367,0.3699672226961568,0.90625,0.2765997648239136
94,0.8630845323741008,0.36663049743544285,0.84375,0.6520174145698547
95,0.8647706834532375,0.35807770069876166,0.875,0.3409672975540161
96,0.8724145683453238,0.3521802801933649,0.84375,0.38660234212875366
97,0.8684802158273381,0.3591951859994329,0.84375,0.4829828143119812
