epoch,train_acc,train_loss,val_acc,val_loss
1,0.807395773843518,0.5166011426261685,0.5625,1.0816730260849
2,0.8253854940034266,0.4823465493679481,0.625,0.9798393249511719
3,0.8395202741290692,0.4387922864428576,0.5625,1.1892870664596558
4,0.8350942318675043,0.4480423211938633,0.75,1.0340168476104736
5,0.8289548829240434,0.4615316532867647,0.6875,0.9008028507232666
6,0.8432324386065105,0.4353398554377324,0.8125,0.7824063301086426
7,0.8386636207881211,0.43960896671309785,0.75,0.9192061424255371
8,0.8329525985151343,0.4466691223972571,0.9375,0.31977418065071106
9,0.8419474585950886,0.43299485644568153,0.625,0.9602245688438416
10,0.8422330097087378,0.42536754667310034,0.8125,0.33243200182914734
11,0.8455168475157053,0.4262413724593133,0.875,0.729609489440918
12,0.847372929754426,0.41418050466236184,0.8125,0.6502376198768616
13,0.839091947458595,0.4251588812169179,0.5625,1.4575622081756592
14,0.8479440319817247,0.4174458073119158,0.6875,0.4887262284755707
15,0.8499428897772702,0.410268309519231,0.6875,0.9923318028450012
16,0.8540833809251857,0.4019587065679883,0.6875,0.6444534063339233
17,0.8525128498001142,0.40396315269948735,0.75,1.5161800384521484
18,0.847372929754426,0.41189562064382235,0.75,0.8779593110084534
19,0.8490862364363221,0.40543763123310117,0.75,0.6988049745559692
20,0.8519417475728156,0.4058819372209054,0.8125,0.4377254247665405
21,0.8532267275842376,0.39637305630931574,0.75,0.5893509984016418
22,0.8582238720731011,0.3817464951638543,0.6875,0.6005491614341736
23,0.8540833809251857,0.3975616923109471,0.75,0.6497113704681396
24,0.8502284408909195,0.3959682677595369,0.9375,0.35868963599205017
25,0.8537978298115363,0.3955872464054894,0.6875,0.5927602052688599
26,0.8583666476299258,0.38702212117728313,0.6875,0.5606228709220886
27,0.8537978298115363,0.392648632155209,0.8125,0.6384350061416626
28,0.854797258709309,0.39616452907555144,0.6875,1.1601442098617554
29,0.8542261564820103,0.40010267167619673,0.6875,1.127625584602356
30,0.8553683609366076,0.3891429748553155,0.875,0.4180445075035095
31,0.856082238720731,0.39352636790963613,0.6875,0.9873499870300293
32,0.8480868075385494,0.40943102958691396,0.5625,0.9728952646255493
33,0.8515134209023415,0.39804925351110587,0.8125,0.6133283972740173
34,0.8527984009137636,0.4109600931273051,0.6875,0.9383249282836914
35,0.8646487721302113,0.3741689409474512,0.75,0.5652100443840027
36,0.8470873786407767,0.410763298965531,0.8125,0.7913457751274109
37,0.854797258709309,0.3924189659579099,0.8125,0.409786194562912
38,0.8633637921187893,0.3806675928703343,1.0,0.14846378564834595
39,0.852655625356939,0.3910098738174807,0.875,0.4439234137535095
40,0.8582238720731011,0.39176811096136127,0.6875,0.7438962459564209
41,0.8643632210165619,0.3713433365776352,0.5625,2.0161471366882324
